Timestamp,Equipment_ID,Sensor1_Temperature_C,Sensor2_Vibration_Hz,Sensor3_Pressure_Pa,Sensor1_Temperature_MA,Sensor2_Vibration_MA,Sensor3_Pressure_MA
2024-09-01 01:06:18.378378378,A123,84.18,19.19,1264.58,80.28,21.956666666666667,1042.4466666666667
2024-09-01 01:39:27.567567567,A126,70.07,26.05,1024.5,80.63,25.69333333333333,1040.0133333333333
2024-09-01 02:12:36.756756756,A124,75.59,23.07,869.28,76.61333333333333,22.77,1052.7866666666666
2024-09-01 02:45:45.945945945,A123,64.06,18.66,1254.29,69.90666666666667,22.593333333333334,1049.3566666666666
2024-09-01 03:18:55.135135135,A123,44.61,19.57,1042.46,61.419999999999995,20.433333333333334,1055.3433333333332
2024-09-01 03:52:04.324324324,A124,72.2,20.38,965.07,60.29,19.536666666666665,1087.2733333333333
2024-09-01 04:25:13.513513513,A126,77.18,20.9,821.47,64.66333333333334,20.283333333333335,943.0
2024-09-01 04:58:22.702702702,A123,83.26,17.23,1401.75,77.54666666666667,19.503333333333334,1062.7633333333333
2024-09-01 05:31:31.891891891,A123,56.72,25.91,1067.37,72.38666666666667,21.346666666666664,1096.8633333333332
2024-09-01 06:04:41.081081081,A124,64.92,18.37,930.2,68.3,20.503333333333334,1133.1066666666666
2024-09-01 06:37:50.270270270,A125,105.72,16.47,1062.29,75.78666666666668,20.25,1019.9533333333333
2024-09-01 07:10:59.459459459,A123,55.84,5.89,658.11,75.49333333333334,13.576666666666666,883.5333333333333
2024-09-01 07:44:08.648648648,A125,60.24,23.97,1379.07,73.93333333333332,15.443333333333333,1033.1566666666668
2024-09-01 08:17:17.837837837,A126,89.62,15.65,780.46,68.56666666666666,15.17,939.2133333333335
2024-09-01 08:50:27.027027027,A124,87.23,18.44,941.21,79.03,19.353333333333335,1033.58
2024-09-01 09:23:36.216216216,A125,68.8,32.08,1014.25,81.88333333333333,22.05666666666667,911.9733333333334
2024-09-01 09:56:45.405405405,A126,82.57,19.42,873.15,79.53333333333332,23.313333333333333,942.87
2024-09-01 10:29:54.594594594,A123,85.33,22.97,1181.23,78.89999999999999,24.823333333333334,1022.8766666666667
2024-09-01 11:03:03.783783783,A123,61.55,20.07,1229.25,76.48333333333333,20.82,1094.5433333333333
2024-09-01 11:36:12.972972972,A124,93.29,28.01,850.73,80.05666666666666,23.683333333333334,1087.07
2024-09-01 12:09:22.162162162,A126,107.0,18.61,1163.93,87.27999999999999,22.23,1081.3033333333333
2024-09-01 12:42:31.351351351,A123,89.0,25.55,832.59,96.42999999999999,24.05666666666667,949.0833333333334
2024-09-01 13:15:40.540540540,A124,59.44,15.76,1033.39,85.14666666666666,19.973333333333333,1009.9700000000001
